pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Nigéria,159,2013,"Plantes Oleiferes, Autre",2570,840.0,1.0,51.0,77.0,427.0,285.0,0.0
Norvège,162,2013,Pommes de Terre,2531,340.0,23.0,31.0,7.0,10.0,267.0,3.0
Pakistan,165,2013,Blé,2511,24373.0,485.0,1333.0,615.0,5.0,20696.0,1238.0
Pakistan,165,2013,Orge,2513,68.0,33.0,5.0,2.0,1.0,27.0,0.0
Pakistan,165,2013,Maïs,2514,4387.0,910.0,114.0,228.0,46.0,2649.0,441.0
Pakistan,165,2013,"Plantes Oleiferes, Autre",2570,475.0,0.0,14.0,10.0,185.0,267.0,0.0
Tchéquie (la),167,2013,Blé,2511,3302.0,1350.0,188.0,41.0,40.0,992.0,692.0
Tchéquie (la),167,2013,Orge,2513,1039.0,524.0,105.0,10.0,393.0,2.0,5.0
Tchéquie (la),167,2013,Seigle,2515,160.0,6.0,8.0,7.0,0.0,129.0,10.0
Tchéquie (la),167,2013,Pommes de Terre,2531,878.0,0.0,61.0,4.0,5.0,808.0,0.0
Tchéquie (la),167,2013,"Plantes Oleiferes, Autre",2570,1.0,0.0,0.0,0.0,2.0,1.0,1.0
Paraguay,169,2013,Maïs,2514,976.0,128.0,21.0,289.0,134.0,403.0,1.0
Pérou,170,2013,Orge,2513,419.0,56.0,18.0,16.0,172.0,119.0,38.0
Pérou,170,2013,"Plantes Oleiferes, Autre",2570,120.0,67.0,0.0,0.0,0.0,52.0,3.0
